,Слова,Важность,Компетенция,Чистые слова
1460,проведение лабораторных общеклинических исследований,16,Лабораторный медицинский анализ,проведение лабораторных общеклинических исследований
1461,специалист должен знать и понимать - задачи структуру оборудование правила работы и технику безопасности в лаборатории клинических исследований;- основные методы и диагностическое значение исследований физических химических показателей мочи;- морфологию клеточных и других элементов мочи;основные методы и диагностическое значение исследований физических химических показателей кала;- форменные элементы кала их выявление;- физико-химический состав содержимого желудка и двенадцатиперстной кишки; изменения состава содержимого желудка и двенадцатиперстной кишки при различных заболеваниях пищеварительной системы;- лабораторные показатели при исследовании мокроты физические свойства морфология форменных элементов для диагностики заболеваний дыхательных путей;- морфологический состав физико-химические свойства спинномозговой жидкости лабораторные показатели при инфекционно-воспалительных процессах травмах опухолях и другом;- морфологический состав физико-химические свойства выпотных жидкостей лабораторные показатели при инфекционно-воспалительных процессах травмах опухолях и другом;- принципы и методы исследования отделяемого половыми органами,16,Лабораторный медицинский анализ,специалист - задачи структуру оборудование правила работы технику безопасности лаборатории клинических исследований;- основные методы диагностическое значение исследований физических химических показателей мочи;- морфологию клеточных элементов мочи;основные методы диагностическое значение исследований физических химических показателей кала;- форменные элементы кала выявление;- физико-химический состав содержимого желудка двенадцатиперстной кишки; изменения состава содержимого желудка двенадцатиперстной кишки различных заболеваниях пищеварительной системы;- лабораторные показатели исследовании мокроты физические свойства морфология форменных элементов диагностики заболеваний дыхательных путей;- морфологический состав физико-химические свойства спинномозговой жидкости лабораторные показатели инфекционно-воспалительных процессах травмах опухолях другом;- морфологический состав физико-химические свойства выпотных жидкостей лабораторные показатели инфекционно-воспалительных процессах травмах опухолях другом;- принципы методы исследования отделяемого половыми органами
1462,проведение лабораторных гематологических исследований,16,Лабораторный медицинский анализ,проведение лабораторных гематологических исследований
1463,специалист должен знать и понимать - задачи структуру оборудование правила работы и техники безопасности в гематологической лаборатории; - теорию кроветворения; - морфологию клеток крови в норме; - понятия “эритроцитоз” и “эритропения” “лейкоцитоз” и “лейкопения” “тромбоцитоз” и “тромбоцитопения”; - изменения показателей гемограммы при реактивных состояниях при заболеваниях органов кроветворения анемии лейкозах геморрагических диатезах и других заболеваниях; - морфологические особенности эритроцитов при различных анемиях; - морфологические особенности лейкоцитов при различных патологиях,16,Лабораторный медицинский анализ,специалист - задачи структуру оборудование правила работы техники безопасности гематологической лаборатории; - теорию кроветворения; - морфологию клеток крови норме; - понятия “эритроцитоз” “эритропения” “лейкоцитоз” “лейкопения” “тромбоцитоз” “тромбоцитопения”; - изменения показателей гемограммы реактивных состояниях заболеваниях органов кроветворения анемии лейкозах геморрагических диатезах заболеваниях; - морфологические особенности эритроцитов различных анемиях; - морфологические особенности лейкоцитов различных патологиях
1464,проведение лабораторных биохимических исследований,18,Лабораторный медицинский анализ,проведение лабораторных биохимических исследований
1465,специалист должен знать и понимать - задачи структуру оборудование правила работы и техники безопасности в биохимической лаборатории; - особенности подготовки пациента к биохимическим лабораторным исследованиям; - основные методы и диагностическое значение биохимических исследований крови мочи ликвора и так далее; - основы гомеостаза биохимические механизмы сохранения гомеостаза; - нормальную физиологию обмена белков углеводов липидов ферментов гормонов водно-минерального кислотно-основного состояния; причины и виды патологии обменных процессов; - основные методы исследования обмена веществ гормонального профиля ферментов и другого,18,Лабораторный медицинский анализ,специалист - задачи структуру оборудование правила работы техники безопасности биохимической лаборатории; - особенности подготовки пациента биохимическим лабораторным исследованиям; - основные методы диагностическое значение биохимических исследований крови мочи ликвора далее; - основы гомеостаза биохимические механизмы сохранения гомеостаза; - нормальную физиологию обмена белков углеводов липидов ферментов гормонов водно-минерального кислотно-основного состояния; причины виды патологии обменных процессов; - основные методы исследования обмена веществ гормонального профиля ферментов другого
1466,проведение лабораторных микробиологических и иммунологических исследований,17,Лабораторный медицинский анализ,проведение лабораторных микробиологических иммунологических исследований
1467,специалист должен знать и понимать - задачи структуру оборудование правила работы и техники безопасности в микробиологической лаборатории; - общие характеристики микроорганизмов имеющие значение для лабораторной диагностики; - требования к организации работы с микроорганизмами iii  iv групп патогенности; - организацию делопроизводства; - задачи структуру оборудование правила работы и техники безопасности в иммунологической лаборатории; - строение иммунной системы виды иммунитета; иммунокомпетентные клетки и их функции; - виды и характеристику антигенов; - классификацию строение функции иммуноглобулинов; - механизм иммунологических реакций,17,Лабораторный медицинский анализ,специалист - задачи структуру оборудование правила работы техники безопасности микробиологической лаборатории; - общие характеристики микроорганизмов имеющие значение лабораторной диагностики; - требования организации работы микроорганизмами iii iv групп патогенности; - организацию делопроизводства; - задачи структуру оборудование правила работы техники безопасности иммунологической лаборатории; - строение иммунной системы виды иммунитета; иммунокомпетентные клетки функции; - виды характеристику антигенов; - классификацию строение функции иммуноглобулинов; - механизм иммунологических реакций
1468,проведение лабораторных гистологических исследований,18,Лабораторный медицинский анализ,проведение лабораторных гистологических исследований
1469,специалист должен знать и понимать - задачи структуру оборудование правила работы и техники безопасности в гистологической лаборатории; - правила взятия обработки и архивирования материала для гистологического исследования; - критерии качества гистологических препаратов; - морфофункциональную характеристику органов и тканей,18,Лабораторный медицинский анализ,специалист - задачи структуру оборудование правила работы техники безопасности гистологической лаборатории; - правила взятия обработки архивирования материала гистологического исследования; - критерии качества гистологических препаратов; - морфофункциональную характеристику органов тканей
1470,проведение лабораторных санитарно-гигиенических исследований,15.0,Лабораторный медицинский анализ,проведение лабораторных санитарно-гигиенических исследований
1471,специалист должен уметь - механизмы функционирования природных экосистем; - задачи структуру оборудование правила работы и техники безопасности в санитарно-гигиенических лабораториях; - нормативно-правовые аспекты санитарно-гигиенических исследований;гигиенические условия проживания населения и мероприятия обеспечивающие благоприятную среду обитания человека,15.0,Лабораторный медицинский анализ,специалист - механизмы функционирования природных экосистем; - задачи структуру оборудование правила работы техники безопасности санитарно-гигиенических лабораториях; - нормативно-правовые аспекты санитарно-гигиенических исследований;гигиенические условия проживания населения мероприятия обеспечивающие благоприятную среду обитания человека
1472,сегодня лабораторная диагностика  это широкий спектр автоматизированных высокочувствительных методов позволяющий оперативно получить достоверную информацию о состоянии внутренней среды пациентамедицинский лабораторный техник клинико-диагностической гистологической бактериологической санитарно-гигиенической лабораторий выполняет исследования в соответствии с квалификационными требованиями подготавливает рабочее место дезинфицирующие растворы регистрирует поступающий в лабораторию биологический материал для исследования в том числе с использованием персонального компьютера проводит обработку материала и подготовку к исследованию стерилизацию лабораторного инструментария в соответствии с действующими инструкциями ведет необходимую медицинскую документацию соблюдает правила техники безопасности и производственной санитарии согласно требованиям санитарно-эпидемиологического режима участвует в контроле качества проводимых в лаборатории исследованийв современной динамично развивающейся среде медицинский лабораторный техник должен уметь работать как самостоятельно так и в команде обладать профессионализмом гибкостью критичностью мышления ответственностью умением устанавливать контакт с пациентами и коллегами успешно оперировать знаниями технологии выполнения медицинских услуг соответствующих гигиенических стандартов медицинский лабораторный техник должен обладать аналитическими и техническими знаниями иc  союз ворлдскиллс россия лабораторный медицинский анализ умениями активно применять современные информационные технологии уметь распределять время и организовывать свою работу в условиях высокой эмоциональной нагрузки,15.0,Лабораторный медицинский анализ (Юниоры),лабораторная диагностика широкий спектр автоматизированных высокочувствительных методов позволяющий оперативно достоверную информацию состоянии внутренней среды пациентамедицинский лабораторный техник клинико-диагностической гистологической бактериологической санитарно-гигиенической лабораторий выполняет исследования соответствии квалификационными требованиями подготавливает рабочее дезинфицирующие растворы регистрирует поступающий лабораторию биологический материал исследования числе использованием персонального компьютера проводит обработку материала подготовку исследованию стерилизацию лабораторного инструментария соответствии действующими инструкциями ведет необходимую медицинскую документацию соблюдает правила техники безопасности производственной санитарии согласно требованиям санитарно-эпидемиологического режима участвует контроле качества проводимых лаборатории исследованийв современной динамично развивающейся среде медицинский лабораторный техник самостоятельно команде обладать профессионализмом гибкостью критичностью мышления ответственностью умением устанавливать контакт пациентами коллегами успешно оперировать знаниями технологии выполнения медицинских услуг соответствующих гигиенических стандартов медицинский лабораторный техник обладать аналитическими техническими знаниями иc союз ворлдскиллс лабораторный медицинский анализ умениями активно применять современные информационные технологии распределять организовывать работу условиях высокой эмоциональной нагрузки
1473,проведение лабораторных общеклинических исследований,16,Лабораторный медицинский анализ (Юниоры),проведение лабораторных общеклинических исследований
1474,специалист должен знать и понимать - задачи структуру оборудование правила работы и технику безопасности в лаборатории клинических исследований;- основные методы и диагностическое значение исследований физических химических показателей мочи;- морфологию клеточных и других элементов мочи;основные методы и диагностическое значение исследований физических химических показателей кала;- форменные элементы кала их выявление;- физико-химический состав содержимого желудка и двенадцатиперстной кишки; изменения состава содержимого желудка и двенадцатиперстной кишки при различных заболеваниях пищеварительной системы;- лабораторные показатели при исследовании мокроты физические свойства морфология форменных элементов для диагностики заболеваний дыхательных путей;- морфологический состав физико-химические свойства спинномозговой жидкости лабораторные показатели при инфекционно-воспалительных процессах травмах опухолях и другом;- морфологический состав физико-химические свойства выпотных жидкостей лабораторные показатели при инфекционно-воспалительных процессах травмах опухолях и другом;- принципы и методы исследования отделяемого половыми органами,16,Лабораторный медицинский анализ (Юниоры),специалист - задачи структуру оборудование правила работы технику безопасности лаборатории клинических исследований;- основные методы диагностическое значение исследований физических химических показателей мочи;- морфологию клеточных элементов мочи;основные методы диагностическое значение исследований физических химических показателей кала;- форменные элементы кала выявление;- физико-химический состав содержимого желудка двенадцатиперстной кишки; изменения состава содержимого желудка двенадцатиперстной кишки различных заболеваниях пищеварительной системы;- лабораторные показатели исследовании мокроты физические свойства морфология форменных элементов диагностики заболеваний дыхательных путей;- морфологический состав физико-химические свойства спинномозговой жидкости лабораторные показатели инфекционно-воспалительных процессах травмах опухолях другом;- морфологический состав физико-химические свойства выпотных жидкостей лабораторные показатели инфекционно-воспалительных процессах травмах опухолях другом;- принципы методы исследования отделяемого половыми органами
1475,проведение лабораторных гематологических исследований,16,Лабораторный медицинский анализ (Юниоры),проведение лабораторных гематологических исследований
1476,специалист должен знать и понимать - задачи структуру оборудование правила работы и техники безопасности в гематологической лаборатории; - теорию кроветворения; - морфологию клеток крови в норме; - понятия “эритроцитоз” и “эритропения” “лейкоцитоз” и “лейкопения” “тромбоцитоз” и “тромбоцитопения”; - изменения показателей гемограммы при реактивных состояниях при заболеваниях органов кроветворения анемии лейкозах геморрагических диатезах и других заболеваниях; - морфологические особенности эритроцитов при различных анемиях; - морфологические особенности лейкоцитов при различных патологиях,16,Лабораторный медицинский анализ (Юниоры),специалист - задачи структуру оборудование правила работы техники безопасности гематологической лаборатории; - теорию кроветворения; - морфологию клеток крови норме; - понятия “эритроцитоз” “эритропения” “лейкоцитоз” “лейкопения” “тромбоцитоз” “тромбоцитопения”; - изменения показателей гемограммы реактивных состояниях заболеваниях органов кроветворения анемии лейкозах геморрагических диатезах заболеваниях; - морфологические особенности эритроцитов различных анемиях; - морфологические особенности лейкоцитов различных патологиях
1477,проведение лабораторных биохимических исследований,18,Лабораторный медицинский анализ (Юниоры),проведение лабораторных биохимических исследований
1478,специалист должен знать и понимать - задачи структуру оборудование правила работы и техники безопасности в биохимической лаборатории; - особенности подготовки пациента к биохимическим лабораторным исследованиям; - основные методы и диагностическое значение биохимических исследований крови мочи ликвора и так далее; - основы гомеостаза биохимические механизмы сохранения гомеостаза; - нормальную физиологию обмена белков углеводов липидов ферментов гормонов водно-минерального кислотно-основного состояния; причины и виды патологии обменных процессов; - основные методы исследования обмена веществ гормонального профиля ферментов и другого,18,Лабораторный медицинский анализ (Юниоры),специалист - задачи структуру оборудование правила работы техники безопасности биохимической лаборатории; - особенности подготовки пациента биохимическим лабораторным исследованиям; - основные методы диагностическое значение биохимических исследований крови мочи ликвора далее; - основы гомеостаза биохимические механизмы сохранения гомеостаза; - нормальную физиологию обмена белков углеводов липидов ферментов гормонов водно-минерального кислотно-основного состояния; причины виды патологии обменных процессов; - основные методы исследования обмена веществ гормонального профиля ферментов другого
1479,проведение лабораторных микробиологических и иммунологических исследований,17,Лабораторный медицинский анализ (Юниоры),проведение лабораторных микробиологических иммунологических исследований
1480,специалист должен знать и понимать - задачи структуру оборудование правила работы и техники безопасности в микробиологической лаборатории; - общие характеристики микроорганизмов имеющие значение для лабораторной диагностики; - требования к организации работы с микроорганизмами iii  iv групп патогенности; - организацию делопроизводства; - задачи структуру оборудование правила работы и техники безопасности в иммунологической лаборатории; - строение иммунной системы виды иммунитета; иммунокомпетентные клетки и их функции; - виды и характеристику антигенов; - классификацию строение функции иммуноглобулинов; - механизм иммунологических реакций,17,Лабораторный медицинский анализ (Юниоры),специалист - задачи структуру оборудование правила работы техники безопасности микробиологической лаборатории; - общие характеристики микроорганизмов имеющие значение лабораторной диагностики; - требования организации работы микроорганизмами iii iv групп патогенности; - организацию делопроизводства; - задачи структуру оборудование правила работы техники безопасности иммунологической лаборатории; - строение иммунной системы виды иммунитета; иммунокомпетентные клетки функции; - виды характеристику антигенов; - классификацию строение функции иммуноглобулинов; - механизм иммунологических реакций
1481,проведение лабораторных гистологических исследований,18,Лабораторный медицинский анализ (Юниоры),проведение лабораторных гистологических исследований
1482,специалист должен знать и понимать - задачи структуру оборудование правила работы и техники безопасности в гистологической лаборатории; - правила взятия обработки и архивирования материала для гистологического исследования; - критерии качества гистологических препаратов; - морфофункциональную характеристику органов и тканей,18,Лабораторный медицинский анализ (Юниоры),специалист - задачи структуру оборудование правила работы техники безопасности гистологической лаборатории; - правила взятия обработки архивирования материала гистологического исследования; - критерии качества гистологических препаратов; - морфофункциональную характеристику органов тканей
1483,проведение лабораторных санитарно-гигиенических исследований,15.0,Лабораторный медицинский анализ (Юниоры),проведение лабораторных санитарно-гигиенических исследований
1484,специалист должен уметь - механизмы функционирования природных экосистем; - задачи структуру оборудование правила работы и техники безопасности в санитарно-гигиенических лабораториях; - нормативно-правовые аспекты санитарно-гигиенических исследований;гигиенические условия проживания населения и мероприятия обеспечивающие благоприятную среду обитания человека,15.0,Лабораторный медицинский анализ (Юниоры),специалист - механизмы функционирования природных экосистем; - задачи структуру оборудование правила работы техники безопасности санитарно-гигиенических лабораториях; - нормативно-правовые аспекты санитарно-гигиенических исследований;гигиенические условия проживания населения мероприятия обеспечивающие благоприятную среду обитания человека
1485,специалисты в сфере медицинского и социального ухода оказывают помощь в учреждениях медицинского и социального ухода в медицинских организациях различного профиля - дома престарелых больницы однодневные стационары и социальные приюты хосписы и центры сестринского ухода и на домумедицинский и социальный уход тесно связан с медициной и охватывает широкий спектр умений и видов деятельности связанных с поддержкой хорошего состояния здоровья физического и психосоциального состояния роста и развития пациента/клиента уход за ним и содействие в реабилитации и поддержке пациентов/клиентов и их семей предоставляемая помощь основывается на планировании осуществлении и оценивании программы ухода уход и оздоровление тесно связанные с медициной предполагают соблюдение профессиональной этики и деонтологии а также законодательства в области здравоохранениявысококвалифицированные специалисты предоставляя целый ряд услуг по социальной и медицинской поддержке для пациентов/клиентов и их семей должны демонстрировать высокий уровень персональной ответственности и самостоятельности на всех этапах работы от оценки потребностей клиента/пациента до установления отношений с ним обеспечить качественный уход в различных обстоятельствах учитывать всеc  союз ворлдскиллс россия медицинский и социальный уход мелочи во избежание ошибок которые могут повлечь за собой серьезные последствия вплоть до угрозы жизнинеотъемлемыми качествами высококвалифицированного работника в этой сфере являются навыки организации работы и самоорганизации межличностного общения способность решать проблемы новаторское и творческое мышление умение понимать пациентов/ клиентов и работать с ними для улучшения качества их жизни такой специалист может работать в коллективе самостоятельно или чередовать эти способы работысегодня в условиях взаимодействия стран когда люди могут свободно перемещаться работнику в сфере медицинского и социального ухода открываются широкие перспективы и возможности для квалифицированного специалиста в этой отрасли существует множество возможностей сотрудничества на международном уровне что способствует увеличению разнообразия навыков связанных с медицинским и социальным уходом вместе с тем это вызывает необходимость понимать разнообразные культуры системы здравоохранения и социального ухода а также различия в сфере законодательстваоказание помощи конкретным людям семьям и группам людей по выявлению существующих и потенциальных проблем со здоровьем в изменяющихся условиях окружающей среды в достижении ими физического умственного и социального здоровья обеспечивают улучшение состояния пациентов/клиентов виды деятельности которые сочетают медицинскую и социальную помощь вносят свой вклад в улучшение качества жизни они имеют решающее значение для поддержания социально-психологического здоровья населения что способствует укреплению социально  экономического климата и является одной из базисных основ развития стран,15.0,Медицинский и социальный уход,специалисты сфере медицинского социального ухода оказывают помощь учреждениях медицинского социального ухода медицинских организациях различного профиля - дома престарелых больницы однодневные стационары социальные приюты хосписы центры сестринского ухода домумедицинский социальный уход тесно связан медициной охватывает широкий спектр умений видов деятельности связанных поддержкой хорошего состояния здоровья физического психосоциального состояния роста развития пациента/клиента уход содействие реабилитации поддержке пациентов/клиентов семей предоставляемая помощь основывается планировании осуществлении оценивании программы ухода уход оздоровление тесно связанные медициной предполагают соблюдение профессиональной этики деонтологии законодательства области здравоохранениявысококвалифицированные специалисты предоставляя целый услуг социальной медицинской поддержке пациентов/клиентов семей должны демонстрировать высокий уровень персональной ответственности самостоятельности этапах работы оценки потребностей клиента/пациента установления отношений обеспечить качественный уход различных обстоятельствах учитывать всеc союз ворлдскиллс медицинский социальный уход мелочи избежание ошибок повлечь серьезные последствия вплоть угрозы жизнинеотъемлемыми качествами высококвалифицированного работника сфере являются навыки организации работы самоорганизации межличностного общения способность решать проблемы новаторское творческое мышление умение пациентов/ клиентов улучшения качества жизни специалист коллективе самостоятельно чередовать способы работысегодня условиях взаимодействия стран свободно перемещаться работнику сфере медицинского социального ухода открываются широкие перспективы возможности квалифицированного специалиста отрасли существует множество возможностей сотрудничества международном уровне способствует увеличению разнообразия навыков связанных медицинским социальным уходом вызывает необходимость разнообразные культуры системы здравоохранения социального ухода различия сфере законодательстваоказание помощи конкретным людям семьям группам людей выявлению существующих потенциальных проблем здоровьем изменяющихся условиях окружающей среды достижении физического умственного социального здоровья обеспечивают улучшение состояния пациентов/клиентов виды деятельности сочетают медицинскую социальную помощь вносят вклад улучшение качества жизни имеют решающее значение поддержания социально-психологического здоровья населения способствует укреплению социально экономического климата является базисных основ развития стран
